title
ACM Transactions on Computer - Human Interaction
ACM Transactions on Graphics
Annual Review of Information Science and Technology
Artificial Intelligence
Cognitive Science
Computational Linguistics
IEEE Transactions on Evolutionary Computation
IEEE Transactions on Fuzzy Systems
IEEE Transactions on Image Processing
IEEE Transactions on Information Theory
IEEE Transactions on Neural Networks and Learning Systems (was IEEE Transactions on Neural Networks)
IEEE Transactions on Pattern Analysis and Machine Intelligence
IEEE Transactions on Robotics
Information Systems
International Journal of Computer Vision
International Journal of Robotics Research
Journal of Information Technology
Journal of Machine Learning Research
Journal of the Association for Information Science and Technology (was Journal of the American Society for Information Science and Technology)
MIS Quarterly
Fuzzy Sets and Systems
Artificial Intelligence in Medicine
Autonomous Agents and Multi-Agent Systems
BMC Bioinformatics
Computational Complexity
Computer Speech and Language
Computer Vision and Image Understanding
Constraints
Data Mining and Knowledge Discovery
Evolutionary Computation
IEEE Intelligent Systems
IEEE Transactions on Visualization and Computer Graphics
Journal of Artificial Intelligence Research
Journal of Automated Reasoning
Natural Language Engineering
Neural Networks
User Modeling and User Adapted Interaction
Machine Learning
ACM Transactions on Information Systems
Information Processing and Management
International Journal of Electronic Commerce
International Journal of Geographical Information Science
Electronic Markets
International Journal of Medical Informatics
Journal of Informetrics
Information Sciences
Journal of the American Medical Informatics Association
Journal of Field Robotics
Robotics and Computer Integrated Manufacturing
International Journal of Human-Computer Studies
